Year,Week,Position,Rank,Player,Field Goals,Field Goal Attempts,Percentage,Longest Kick,Kicks below 20,Kicks from 20-29,Kicks from 30-39,Kicks from 40-49,50+,Extra Points Made,Extra Point Attempts,Games played,Fantasy Points,Fantasy Points per Week,Rostered Percentage,Extra Points Attempted
2014,1,K,1,Matt Bryant (FA),3,3,100.0,52,0,0,0,1,2,4,,1,18.0,18.0,0.1%,4
2014,1,K,2,Mike Nugent (FA),5,6,83.3,49,0,2,1,2,0,0,,1,17.0,17.0,0.0%,0
2014,1,K,3,Ryan Succop (TB),4,4,100.0,47,0,0,2,2,0,2,,1,16.0,16.0,18.5%,2
2014,1,K,4,Caleb Sturgis (FA),4,4,100.0,38,0,3,1,0,0,3,,1,15.0,15.0,0.0%,3
2014,1,K,5,Dan Carpenter (FA),3,3,100.0,50,0,1,1,0,1,2,,1,13.0,13.0,0.2%,2
2014,1,K,6,Shaun Suisham (FA),3,3,100.0,41,0,0,2,1,0,3,,1,13.0,13.0,0.0%,3
2014,1,K,7,Blair Walsh (FA),2,2,100.0,52,0,0,0,1,1,4,,1,13.0,13.0,0.1%,4
2014,1,K,8,Cody Parkey (FA),2,2,100.0,51,0,1,0,0,1,4,,1,12.0,12.0,0.1%,4
2014,1,K,9,Shayne Graham (FA),2,2,100.0,50,0,0,1,0,1,4,,1,12.0,12.0,0.0%,4
2014,1,K,10,Stephen Hauschka (FA),2,2,100.0,35,0,1,1,0,0,4,,1,10.0,10.0,0.0%,4
2014,1,K,11,Stephen Gostkowski (FA),2,2,100.0,47,0,0,0,2,0,2,,1,10.0,10.0,0.1%,2
2014,1,K,12,Greg Zuerlein (NYJ),2,3,66.7,56,0,0,0,1,1,0,,1,9.0,9.0,0.7%,0
2014,1,K,13,Robbie Gould (SF),2,2,100.0,41,0,0,1,1,0,2,,1,9.0,9.0,14.5%,2
2014,1,K,14,Nick Folk (NE),2,2,100.0,45,0,0,0,2,0,1,,1,9.0,9.0,86.1%,1
2014,1,K,15,Nate Freese (FA),2,3,66.7,28,0,2,0,0,0,3,,1,9.0,9.0,,3
2014,1,K,16,Billy Cundiff (FA),2,2,100.0,39,0,1,1,0,0,3,,1,9.0,9.0,0.0%,3
2014,1,K,17,Graham Gano (NYG),2,3,66.7,33,0,1,1,0,0,2,,1,8.0,8.0,48.4%,2
2014,1,K,18,Brandon McManus (DEN),1,1,100.0,21,0,1,0,0,0,4,,1,7.0,7.0,86.4%,4
2014,1,K,19,Chandler Catanzaro (FA),2,2,100.0,44,0,1,0,1,0,0,,1,7.0,7.0,0.0%,0
2014,1,K,20,Randy Bullock (TEN),1,1,100.0,42,0,0,0,1,0,2,,1,6.0,6.0,1.0%,2
2014,1,K,21,Josh Scobee (FA),1,3,33.3,49,0,0,0,1,0,2,,1,6.0,6.0,0.0%,2
2014,1,K,22,Adam Vinatieri (FA),1,1,100.0,25,0,1,0,0,0,3,,1,6.0,6.0,0.2%,3
2014,1,K,23,Dan Bailey (FA),1,1,100.0,29,0,1,0,0,0,2,,1,5.0,5.0,0.0%,2
2014,1,K,24,Nick Novak (FA),1,1,100.0,36,0,0,1,0,0,2,,1,5.0,5.0,0.1%,2
2014,1,K,25,Justin Tucker (BAL),1,2,50.0,38,0,0,1,0,0,1,,1,4.0,4.0,99.7%,1
2014,1,K,26,Mason Crosby (GB),1,1,100.0,23,0,1,0,0,0,1,,1,4.0,4.0,3.7%,1
2014,1,K,27,Phil Dawson (FA),0,1,0.0,0,0,0,0,0,0,4,,1,4.0,4.0,0.1%,4
2014,1,K,28,Cairo Santos (CHI),1,2,50.0,35,0,0,1,0,0,1,,1,4.0,4.0,0.9%,1
2014,1,K,29,Patrick Murray (FA),0,0,0,0,0,0,0,0,0,2,,1,2.0,2.0,0.0%,2
2014,1,K,30,Josh Brown (FA),0,0,0,0,0,0,0,0,0,2,,1,2.0,2.0,0.0%,2
2014,1,K,31,Sebastian Janikowski (FA),0,0,0,0,0,0,0,0,0,2,,1,2.0,2.0,11.0%,2
2014,1,K,32,Jonathan Brown (FA),0,0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0%,0
2014,1,K,33,Jordan Gay (FA),0,0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0%,0
2014,1,K,34,Kai Forbath (LAR),0,0,0,0,0,0,0,0,0,0,,1,0.0,0.0,0.0%,0
