Year,Week,Position,Rank,Player,Receptions,Targets,Receiving Yards,Yards per Reception,Longest Reception,Catches >20 Yards,Receiving Touchdowns,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Flags,Games played,Fantasy Points,Fantasy Points per Week,Rostered Percentage,Catches > 20 Yards,Longest Catch
2014,1,WR,1,Calvin Johnson (FA),7,11,164,23.4,,,2,0,0,0,0,1,35.4,35.4,0.1%,3,67
2014,1,WR,2,Allen Hurns (FA),4,9,110,27.5,,,2,0,0,0,0,1,27.0,27.0,0.0%,3,46
2014,1,WR,3,A.J. Green (ARI),6,9,131,21.8,,,1,1,5,0,0,1,25.6,25.6,7.3%,2,77
2014,1,WR,4,Steve Smith (FA),7,15,118,16.9,,,1,0,0,0,0,1,24.8,24.8,0.0%,1,80
2014,1,WR,5,Antonio Brown (FA),5,6,116,23.2,,,1,0,0,0,0,1,22.6,22.6,0.5%,2,41
2014,1,WR,6,Brandin Cooks (HOU),7,8,77,11.0,,,1,1,18,0,0,1,22.5,22.5,95.0%,1,32
2014,1,WR,7,Kelvin Benjamin (FA),6,8,92,15.3,,,1,0,0,0,0,1,21.2,21.2,0.1%,2,26
2014,1,WR,8,Jeremy Maclin (FA),4,10,97,24.3,,,1,0,0,0,0,1,19.7,19.7,0.0%,1,68
2014,1,WR,9,Brandon Marshall (FA),8,12,71,8.9,,,1,0,0,0,1,1,19.1,19.1,0.1%,0,15
2014,1,WR,10,Mike Wallace (FA),7,11,81,11.6,,,1,0,0,0,1,1,19.1,19.1,0.0%,1,22
2014,1,WR,11,DeAndre Hopkins (ARI),4,5,89,22.3,,,1,0,0,0,0,1,18.9,18.9,85.8%,1,76
2014,1,WR,12,Reggie Wayne (FA),9,13,98,10.9,,,0,0,0,0,0,1,18.8,18.8,,2,22
2014,1,WR,13,Roddy White (FA),5,7,72,14.4,,,1,0,0,0,0,1,18.2,18.2,0.0%,1,39
2014,1,WR,14,Anquan Boldin (FA),8,9,99,12.4,,,0,0,0,0,0,1,17.9,17.9,0.1%,1,37
2014,1,WR,15,Greg Jennings (FA),6,7,58,9.7,,,1,0,0,0,0,1,17.8,17.8,0.0%,0,18
2014,1,WR,16,Randall Cobb (GB),6,9,58,9.7,,,1,0,0,0,0,1,17.8,17.8,3.5%,1,23
2014,1,WR,17,Pierre Garcon (FA),10,12,77,7.7,,,0,0,0,0,0,1,17.7,17.7,0.0%,0,15
2014,1,WR,18,Julian Edelman (FA),6,8,95,15.8,,,0,2,21,0,0,1,17.6,17.6,0.2%,2,44
2014,1,WR,19,Jordy Nelson (FA),9,14,83,9.2,,,0,0,0,0,0,1,17.3,17.3,0.1%,0,16
2014,1,WR,20,Michael Floyd (FA),5,7,119,23.8,,,0,1,2,0,0,1,17.1,17.1,0.0%,2,63
2014,1,WR,21,Percy Harvin (FA),7,7,59,8.4,,,0,4,41,0,0,1,17.0,17.0,0.1%,1,33
2014,1,WR,22,Brian Quick (FA),7,9,99,14.1,,,0,0,0,0,0,1,16.9,16.9,0.0%,2,23
2014,1,WR,23,Andrew Hawkins (FA),8,10,87,10.9,,,0,0,0,0,0,1,16.7,16.7,0.0%,1,25
2014,1,WR,24,Julio Jones (TB),7,9,116,16.6,,,0,0,0,0,1,1,16.6,16.6,35.7%,4,27
2014,1,WR,25,Kendall Wright (FA),6,7,46,7.7,,,1,0,0,0,0,1,16.6,16.6,0.0%,0,14
2014,1,WR,26,Golden Tate (FA),6,6,93,15.5,,,0,1,4,0,0,1,15.7,15.7,0.0%,1,44
2014,1,WR,27,Markus Wheaton (FA),6,7,97,16.2,,,0,0,0,0,0,1,15.7,15.7,0.0%,2,40
2014,1,WR,28,Rod Streater (FA),5,7,46,9.2,,,1,0,0,0,0,1,15.6,15.6,0.1%,0,17
2014,1,WR,29,Donnie Avery (FA),7,13,84,12.0,,,0,0,0,0,0,1,15.4,15.4,,1,25
2014,1,WR,30,Andre Johnson (FA),6,9,93,15.5,,,0,0,0,0,0,1,15.3,15.3,0.0%,2,23
2014,1,WR,31,Malcom Floyd (FA),4,6,50,12.5,,,1,0,0,0,0,1,15.0,15.0,,1,32
2014,1,WR,32,Terrance Williams (FA),4,7,50,12.5,,,1,0,0,0,0,1,15.0,15.0,0.0%,1,21
2014,1,WR,33,Devin Hester (FA),5,6,99,19.8,,,0,0,0,0,0,1,14.9,14.9,0.4%,2,35
2014,1,WR,34,Emmanuel Sanders (FA),6,9,77,12.8,,,0,1,11,0,0,1,14.8,14.8,0.2%,1,40
2014,1,WR,35,Hakeem Nicks (FA),5,5,36,7.2,,,1,0,0,0,0,1,14.6,14.6,0.0%,0,13
2014,1,WR,36,Marques Colston (FA),5,8,110,22.0,,,0,0,0,0,1,1,14.0,14.0,0.0%,1,57
2014,1,WR,37,DeSean Jackson (FA),8,9,62,7.8,,,0,1,-9,0,0,1,13.3,13.3,0.1%,0,17
2014,1,WR,38,Harry Douglas (FA),6,7,69,11.5,,,0,0,0,0,0,1,12.9,12.9,0.0%,1,23
2014,1,WR,39,James Jones (FA),3,3,34,11.3,,,1,0,0,0,0,1,12.4,12.4,0.0%,1,30
2014,1,WR,40,Eric Decker (FA),5,7,74,14.8,,,0,0,0,0,0,1,12.4,12.4,0.6%,3,24
2014,1,WR,41,Marqise Lee (FA),6,10,62,10.3,,,0,0,0,0,0,1,12.2,12.2,0.0%,0,18
2014,1,WR,42,Alshon Jeffery (FA),5,6,71,14.2,,,0,0,0,0,0,1,12.1,12.1,0.0%,1,44
2014,1,WR,43,Robert Woods (TEN),4,6,78,19.5,,,0,0,0,0,0,1,11.8,11.8,77.4%,2,32
2014,1,WR,44,Ricardo Lockette (FA),2,3,38,19.0,,,1,0,0,0,0,1,11.8,11.8,0.0%,1,33
2014,1,WR,45,Travis Benjamin (FA),2,3,20,10.0,,,1,1,10,0,0,1,11.0,11.0,0.0%,0,11
2014,1,WR,46,John Brown (FA),2,5,29,14.5,,,1,0,0,0,0,1,10.9,10.9,0.0%,0,16
2014,1,WR,47,Mohamed Sanu Sr. (MIA),4,5,36,9.0,,,0,1,4,0,0,1,10.0,10.0,0.0%,0,13
2014,1,WR,48,Chris Owusu (FA),2,2,20,10.0,,,1,0,0,0,0,1,10.0,10.0,0.0%,0,19
2014,1,WR,49,Nate Washington (FA),4,6,59,14.8,,,0,0,0,0,0,1,9.9,9.9,0.0%,0,19
2014,1,WR,50,Dez Bryant (FA),4,6,55,13.8,,,0,0,0,0,0,1,9.5,9.5,0.1%,1,20
2014,1,WR,51,Justin Hunter (FA),3,8,63,21.0,,,0,0,0,0,0,1,9.3,9.3,0.0%,1,39
